text,stars,label
"this recipe was perfection! my husband could not say enough good things about it! he said ""now this is what a chicken pot pie should taste like!"" i followed the recipe exactly. i did use yukon gold potatoes instead of a regular baking potato. at first, i thought i would cut the recipe in half as i didn't think i needed two pies worth, but i am so glad i went ahead and made both. the chopping is a bit time consuming, so i am glad that now i will get two meals out of this one night of work. i put the other pie in the freezer for the future and cannot wait to have it for a simple meal a few weeks from now. loved this!",5,1
my family loves this recipe! i substituted basil from my garden for the thyme.,5,1
"i tried this recipe and it came so good , perfect for my daughter, thanks for sharing... im planning to add more butter next time ill make this to have more butter taste :) and to add more vanilla and salt too same as the other did to their cake",5,1
this is the best apple pie i have ever tasted in my life. i am making it again right now. the old guy at the apple barn told us to use baking apples- they sure do make a difference! i give this one six stars,5,1
"i think that white icing is waaayy too sugary sweet. if you're looking for something more decadant...make a chocolate ganache: 6oz semi-sweet chocolate chips & 1 cup heavy cream, simmer both together & melt the chips, pour it over the completely cooled cake = amazing! serve it with some sliced, fresh strawberries...friends will beg you for the recipe!",5,1
left out the sour cream and used macaroni noodles instead.,5,1
i tried this recipe tonight and it was delicious...thank you...i wish i knew how to add a picture....,5,1
this was delicious - picky kids ate without complaining. i used ground ginger because that's what i had on hand and subed in breast for the thighs.,5,1
way too sweet and does not make 7 doz. i won't be making them again.,2,0
"w-o-w these are the easiest, most delicious muffins i've ever made!! i did 4 bananas instead of 3 and added a dash of pink himalayan salt as a final step. use a handheld mixer to make things easier :)",5,1
"these tacos were so delicious! i found i didn't have any chili powder handy, so i used taco seasoning mix & added 2 t. more of lime juice. i also added some canned chopped green chilies. i'm making some more today & thought i would add some chopped onion & a can of drained & rinsed black beans. yummy!!",5,1
absolutely delicious. i have tried many pancakes from these recipes and i love all of them. cant really choose just one favorite,5,1
these are soooo good! make them now!~ theresa,5,1
this recipe didn't call for pecans??,5,1
"as a food blogger, my number one pet peeve is when somebody butchers my recipe by not following instructions and adding and substituting and then comes onto my blog and leaves a negative comment when it doesn't turn out.if you follow this recipe exactly as written, and don't beat the egg whites, and don't add nuts and substitute things, it comes out five stars- a perfect macaroon.i will say that i don't know in what alternate universe this makes 12 macaroons, because i doubled the recipe and still only got 10 out of it.a real winner though, and i will make again.",5,1
very tasty! my husband loved it! easy to make to,5,1
i have used this recipe several times and is easy to make and everyone love's it,5,1
my husband never wants to be without these banana bars!,5,1
"absolutely loved this! my mom wouldn't eat it because of the pasta, but too bad for her!! i made half the recipe since it was just myself to eat it. had it for lunch for a few days too, but that was okay! i used hot pork sausage, but i like things hot! would definitely make again, especially during a winter storm.....nummy!!",5,1
this was very easy! i used fresh tomatoes and beef broth instead of can tomatoes and the bouillon. it felt like maybe something was missing for our tastes so i added garlic and cayenne pepper. it was the little extra something we liked in our soup to take it to the next level. i will definitely be making it again!,4,1
very good. i had no pecans on hand and used sliced almonds.,5,1
i realized i never reviewed this recipe and what an oversight that was! this cake is amazing! so easy too!,5,1
one of our favorites! freezes well too!,5,1
"easy to make. omitted the five-spice because i didn't have it on hand, but still very good!",5,1
"very good mexican flavored fajitas... hubby, son & grandbaby loved them.. next time i'll add black beans per hubby's request... i did saute chicken in a tab. spoon of butter & used veg. oil for marinade as well... will defiantly be making again",5,1
"we served this on christmas morning and it was a hit. next time, i'm only going to use 1 bar of cream cheese (freezing it first so it will chunk easier), as it was a little too decadent with two. i'm also going to double the sauce, as it really added flavor to the meal.thanks for a great recipe!",4,1
my husband and i loved this chili recipe! it was hearty and healthy too. i used ground turkey in place of the cooked turkey and it was great! definitely a keeper! :),5,1
"one of my favorite dishes that i feel is always good. i took the suggestions of using a smaller dish and put it in 11 x 9 dish (one reason, was because i used my bigger dishes for other things). it was full! i ended up spilling the jello on the way to the fridge (partly because i don't think it was set enough before hand). i used fresh strawberries instead of frozen. i suggest making sure you leave ample time between steps so layers have time to set.",5,1
"i grabbed this recipe quick, found i had all the ingredients and made it. so glad i did! hubby gave rave reviews and we'll definetly have it again.",5,1
"i made the recipe as written, and it was very good; but i agree with other reviewers that it is too sweet. next time i make it i will cut back on the sugar and may add some sauteed onions and/or grated cheddar cheese.",4,1
amazing! i made it with gluten free flour and substituted 1/4 cup apple sauce for the egg. it was super moist and delicious! next time i will add some blueberries.,5,1
"this is one of my favorites, we are on a cooking team with four other couples at st. bartholomew's episcopal church in wichita kansas. each week a team cooks breakfast every sunday during the year. my husband and i take turns choosing what we want to fix. this is high on my list as the cottage cheese makes it so moist and delicious.i vary on the cheddar cheese and use what i have on hand, sometimes i may add two or more different cheeses when i make a triple batch. i add different meats as well, to the casserole depending what is on sale at the store. this is always a big hit with our parish of 45 people.we charge a $2.00 donation to cover the cost of the meal and what money is over the cost goes back to the church. as my husband would say, "" the best $2.00 breakfast in town. diane chambers",5,1
one of my favorites to make when serving a pot roast,5,1
"this is my first enchiladas that i made and i'm glad its came out great., even i misread the last two directions (i didn't put cheese in the tortilla and i put all the cheese on the tortillas before the first bake). my husband was raving it and he even brought the leftovers for work. i lessened the amount of flour as what the other reviewers said. i also lessened the amount of chili because my husband is not fan of spicy and for my 2 year old son. this is a keeper and next time i'll read the directions very carefully.",5,1
"this was excellent! it was moist and did not taste like your typical crumbly gluten free breads. i made them into muffins, which cut the cooking time down to 20 minutes at 350 degrees. also, i didn't have any oil so substituted butter, and in order to cut down on the carbohydrate count used truvia instead of regular sugar. awesome recipe!!",5,1
i used mrs. richardson's butterscotch caramel topping (full-fat) and it was fabulous. it was a definite favorite over the pumpkin and sweet potato pies. i also used low-fat cream cheese which worked very well. happy thanksgiving!,5,1
the only change we will be making next time is to make more sauce! delicious recipe though.,5,1
this banana bread tasted great and it was very easy to prepare. i love that it uses oil as the fat - makes preparation so fast and easy!,5,1
"these meatballs are great... our family loves them! we do substitute quick-cooking oats for the long grain rice, as oats are always in our cabinet, but they're perfect every time we make them. truly... a wonderful recipe to have!",5,1
"on my gosh, is this wonderful!!! refreshing and so tasty! my group loved this, ate it up within 5 minutes. this is a definite keeper.....in answer to marykauhi, i just used the small package of jello instant pudding.......i think that 1 oz pkg is a typo. try this!!!!!! i'm not a fruit type dessert fan, but wow, is this yummy!!!!",5,1
"yum, this pie reminds me of my childhood and eating ambrosia salad. i know our family and friends will enjoy it this year at thanksgiving. i used a pillsbury pie crust in place of the graham cracker crust. thanks for sharing ;)",5,1
