text,stars,label
"this was great. used rotisserie chicken from the grocery store, though. will definitely make again, adding a little more cayenne next time.",5,1
"gooey gummy, never sat up, even tried the freezer. i might re-heat and try as n ice cream topping.waste of time and $$$$",1,0
super simple and delicious!,5,1
"cake is wonderful, just as is! for the frosting, it's granulated sugar, and you must follow the instructions and beat 10 minutes, using a whisk attachment if you have one. for me, it would be better using 1 cup of butter rather than half butter and half shortening, as i don't enjoy the shortening taste, but it was definitely a nicer consistency than my mom's traditional buttercream and i'll be making this again using all butter.",5,1
"this is such a different take on either a coleslaw or a macaroni salad. the best of both worlds! i didn't change a thing, and i really like the miracle whip dressing.",5,1
these were a huge hit in my house. really good!,5,1
"a very good recipe for nice sandwich bread. obviously, the amount of flour and water depends very much on the temperature, humidity, and elevation, so it would have been helpful to be very specific about what the dough should look and feel like at each stage, since this is a beginner’s recipe. but it makes great bread! if you want rustic bread, i swear by the recipe on the king arthur flour website. it’s absolutely foolproof. i’m a mediocre baker, but i’ve never messed up that recipe, ever.",5,1
"easy & delicious. i've made it with cauliflower as the main ingredient, and also combined cauliflower with broccoli. very good each time. goes great with any sort of sandwich.",5,1
"great recipe. i used chicken tenderlions, as i was grilling i sprinkled red crushed pepper on them. it was great.",5,1
the whole family really enjoyed this. i liked that it was easy to make on a weeknight. i used a cast iron skilled and then put it in the oven to heat with foil over it. then broiled the cheese for the last 5 minutes.,5,1
"i was not a fan, to bland and ""eggy"" for my taste. i halved the recipe since there are only two of us and i'm so glad i did. the sauce was good but the rest of it was just blah. i will not be making this one again",1,0
"this was a yummy, moist cake. the frosting threw me a bit. i think i will use cream cheese in it next time. overall, good, easy to follow recipe the turns outs beautifully",4,1
looks terrible calorific and basically junk food. please learn how to cook!,1,0
"easy to follow recipe. very easy prep, & we baked a perfect home made apple pie. the entire house smelled wonderful! i highly recommend this recipe for the novice baker, along with accomplished bakers as well. we were very happy with the results. we used a mixture of granny smith apples and fuji apples. it was beautiful,and tasted just as great! highly recommend for anyone who wants to impress their family with a gorgeous, homemade pie. ps. it was just as good cold the next day, or even reheated in the microwave. i felt proud of our efforts. sincerely, mrs. vance",4,1
"this chowder is fantastic - thick and creamy and just plain yummy. i used 2% milk and it worked just fine - also, being a ham fanatic, added a bit more ham. just love this, as did my husband, the chef in our house!",5,1
wow!! did my guests ever enjoy this tasty grilled chicken! it didn't take long to disappear and everyone wanted the recipe!,5,1
"i've made this soup for several years. both my husband and i love it. it is a very filling and satisfying soup - right up at the top of the listing ""comfort food"".",5,1
wow this was more than words can describe fantastic. very mosit cake and the icing was super super good,5,1
"no wonder why this is a 5 star recipe! i'm so happy i tried it!! perfect for a crowd, or to share with your co-workers.",5,1
i am going to make this saturday sound great,5,1
everyone that i shared the muffins with loved them! the recipe is now in my recipe box!,5,1
"my husband and i were looking for a good potato recipe, and we stumbled upon this one. initially, our first thought was, it makes too much for our little family of two, so we decided to cut the recipe in half. it sounded delicious.once it came out of the oven, that was a different story. the amount of bacon coupled with the sour cream overpowers the dish, so the balance of flavors is too rich. because the potatoes are such a neutral flavor, they get lost in the casserole. maybe if you use less of the sour cream and bacon, or more potatoes, that would be the right ratio of bacon to toppings. also, the presentation wasn't very appealing, because the whiteness of the sour cream dominates the other colors.sadly, this recipe will not be added to our recipe box. happy cooking! :)",2,0
"could someone answer if the cheesecake remains in the springform pan overnight while cooling? ive experienced that my fall if taken out too soon. it is asking me to rate, but i haven't tried it yet!",4,1
i didn't have the beans so i made it without & it was more like a soup. it was delicious. i will definitely make this again. and again and again. :),5,1
i added some diced celery and 1/2 tsp of garlic powder and substituted thyme for the sage (because i didn't have any sage). it was very tasty and i will make it again.,5,1
the best sauce ever!! i enjoy trying lots of recipes and trying to find good recipes for all cuts of chicken. i will use this recipe from now on for thighs. i am also thinking about trying it for wings.,5,1
"great sauce. i browned 4 chicken thighs in a skillet . meanwhile i made 1/2 the sauce in a saucepan, reduced it slightly then added the sauce to the skillet over the chicken. it continued to reduce while the chicken continued to cook. i served it all over rice. it was very tasty and tender. quick and easy.. servings 2",5,1
"i make a cake similar to this, with a large yellow cake mix, (i make it sugar free), after the cake is baked i poke holes in it and pour the pineapple (in natural juice) with juice over the top, then add the pudding (sugar free",5,1
this was delicious banana bread! i will replace my tried and true banana bread recipe of 32 years with this! yum! yum! yum! (i used reduced fat cream cheese because i had it on hand).,5,1
i gave the recipe 5 stars but none of them showed up. :o(,5,1
wonderful soup...fills you up and the family love this recipe. keep up the good work.,5,1
me and my mom made it but it did not tast done so we put it in up to an 1hr but it steel was not done):,4,1
"i made these cupcakes with my granddaughter and they were delicious. she carefully spooned the flour into the measuring cups without packing...and mixed together dry ingredients just until flour was blended. her cupcakes were soooo tender.quite by mistake we ended up making 'maple bar icing' instead of frosting by adding two sticks butter, instead of one, and some additional confectioner sugar so icing could be swirled around on top of cupcakes. my oh my, was it ever delicious!!! will try the frosting recipe next time, but will be keeping the 'maple bar icing' for this cupcake as well. excellent treat for all ages.",5,1
absolutely wonderful and so easy to make!,5,1
"as we prepared to spend the last part of a frigid christmas day watching our steelers and eagles play, i wanted something comforting and easy for dinner and this was it! absolutely delicious. only adaptation i made was using beef broth instead of chicken broth because that is what i had on hand. this has already been added to my recipe blog.",5,1
faimly and friends loved it.,5,1
